Topic,QuestionID,dpr Precision,gpt4-generated Precision,tora-7b-generated Precision,tora-13b-generated Precision,Mistral-7b-generated Precision
Average,,0.3244,0.3744,0.2628,0.259,0.2667
A.301,4235721,0.6,0.5,0.2,0.6,0
A.302,4233786,0.8,0.7,0.9,0.1,0.7
A.303,4232208,0.1,0.1,0.1,0.1,0.1
A.304,4226422,0.2,0.3,0.4,0.2,0
A.305,4223841,0,0,0,0,0
A.306,4220206,0,0.1,0,0,0
A.307,4217271,0.3,0.4,0.3,0.2,0.2
A.308,4214335,0.2,0.5,0.4,0.1,0.3
A.309,4212480,0.5,0.7,0.8,0.6,0.4
A.310,4202380,0.4,0.5,0.1,0,0.3
A.312,4199153,0.4,0.4,0.4,0.3,0.3
A.313,4196659,0.1,0.2,0.1,0.1,0
A.314,4191388,0,0.1,0,0,0
A.315,4190793,0.3,0.2,0.5,0,0
A.316,4189948,0.1,0,0,0,0
A.317,4187726,0.6,0.7,0.5,0.4,0.7
A.318,4186445,0.7,0.7,0.3,0.4,0.3
A.319,4185541,0,0.1,0.1,0.1,0
A.320,4185408,0.7,0.8,0,0.8,0.3
A.322,4182890,0.3,0.4,0.5,0.3,0.3
A.324,4180416,0.4,0.3,0.3,0.3,0.3
A.325,4180188,0.1,0.3,0,0,0.2
A.326,4179813,0.1,0.1,0.1,0,0.1
A.327,4177181,0.1,0.4,0,0,0
A.328,4170548,0.7,0.8,0.6,0.6,0.6
A.329,4168878,0.2,0.5,0,0.5,0.3
A.330,4168744,0.3,0.5,0.6,0.3,0.5
A.331,4166768,0.3,0.5,0.5,0.4,0.5
A.332,4166489,0.1,0,0.1,0.1,0
A.333,4164620,0.4,0.6,0.4,0.5,0.4
A.337,4155217,0.5,0.1,0.3,0.1,0.1
A.338,4142934,0.2,0.1,0,0,0.1
A.339,4142872,0.4,0.6,0.7,0.4,0.2
A.340,4142220,0.5,0.7,0.5,0.5,0.7
A.342,4140378,0.1,0.1,0.1,0.3,0.1
A.344,4135977,0.2,0.2,0.3,0.3,0.1
A.345,4126474,0.3,0.4,0.2,0.4,0.6
A.346,4125256,0.5,0.4,0.4,0.5,0.2
A.347,4118427,0.2,0.5,0.2,0.3,0.4
A.348,4115846,0,0,0,0.1,0.1
A.349,4115364,0.2,0.2,0.2,0.2,0.2
A.350,4114892,0.4,0.3,0,0.5,0
A.352,4106871,0.6,0.6,0.8,0.8,0.6
A.353,4106661,0.7,0.5,0.3,0.6,0.5
A.354,4106382,0.1,0.1,0,0,0
A.355,4103126,0.6,0.6,0.8,0.5,0.7
A.356,4093729,0.7,0.3,0.3,0.8,0.5
A.357,4093299,0,0.3,0.1,0.1,0.3
A.358,4092427,0.4,0.4,0.2,0.4,0.2
A.359,4088830,0.8,0.7,0.5,0.5,0.7
A.360,4088631,0.4,0.5,0.2,0.6,0.5
A.361,4084077,0.3,0.3,0.2,0,0.2
A.362,4081835,0.4,0.1,0.1,0.1,0
A.363,4081201,0.3,0.3,0,0,0.1
A.364,4080548,1,1,0.9,0,1
A.365,4079321,0.2,0.1,0.3,0,0
A.366,4075442,0.3,0.4,0,0.1,0.1
A.368,4067931,0.2,0.4,0.1,0.5,0.1
A.369,4065814,0.4,0.6,0.1,0.1,0.2
A.370,4062051,0.4,0.5,0.5,0.2,0.7
A.371,4058673,0.2,0.4,0.5,0.7,0.5
A.372,4057514,0.5,0.4,0.4,0.4,0.2
A.373,4056304,0.4,0.4,0,0.2,0.2
A.375,4049923,0.2,0.2,0.1,0.2,0.2
A.376,4049589,0.8,0.8,0.7,0.3,0.6
A.378,4049093,0.7,0.6,0.3,0.8,0.3
A.379,4048733,0,0.1,0.1,0,0.1
A.381,4032477,0.3,0.5,0,0.1,0.3
A.382,4030774,0.3,0.2,0.2,0,0.3
A.383,4026325,0.1,0.3,0.2,0.1,0
A.384,4022815,0,0.6,0.2,0.7,0.4
A.385,4009989,0,0,0,0.1,0.1
A.387,4006307,0.1,0.3,0,0.2,0
A.388,4004685,0.4,0.2,0.3,0.2,0.3
A.389,4004022,0,0,0,0,0
A.391,3993087,0.1,0.3,0.2,0.2,0.4
A.394,3986715,0.5,0.6,0.4,0.1,0.5
A.399,3974322,0.4,0.6,0.4,0,0.4
